Sport,Home,Away,Date/Time,Score,Status,ScrapedAt
,Football,Pickerington North (OH),Grandville,53-51,Processed,2025-02-01T18:17:00.575820
,Football,Plymouth,Traverse City Central,14-22,Processed,2025-02-01T18:17:00.616391
,Football,Romulus,Detroit Loyola,12-14,Processed,2025-02-01T18:17:00.660199
,Football,Southfield Arts & Technology,Flint Beecher,46-0,Processed,2025-02-01T18:17:00.707784
,Football,St Clair Shores Lake Shore,Sault Ste Marie,20-18,Processed,2025-02-01T18:17:00.753302
,Football,St Joseph,Niles,30-7,Processed,2025-02-01T18:17:00.795301
,Football,Standish-Sterling,Boyne City,33-14,Processed,2025-02-01T18:17:00.835307
,Football,Stevensville Lakeshore,Grand Haven,21-28,Processed,2025-02-01T18:17:00.878819
,Football,Sylvania Southview (OH),Toledo MR Waite (OH),41-6,Processed,2025-02-01T18:17:00.919821
,Football,Temperance Bedford,Canton,28-31,Processed,2025-02-01T18:17:00.966337
,Football,Toledo Central Catholic (OH),Toledo Whitmer (OH),27-17,Processed,2025-02-01T18:17:01.009335
,Football,Toledo Ottawa Hills (OH),Metamora Evergreen (OH),40-6,Processed,2025-02-01T18:17:01.053400
,Football,Toledo St Francis De Sales (OH),Toledo Scott (OH),49-12,Processed,2025-02-01T18:17:01.097398
,Football,Toledo St John's Jesuit (OH),Whitehouse Anthony Wayne (OH),0-34,Processed,2025-02-01T18:17:01.141544
,Football,Traverse City St Francis,Charlevoix,67-22,Processed,2025-02-01T18:17:01.184298
,Football,Utica Ford,Salem,0-27,Processed,2025-02-01T18:17:01.226297
,Football,Vanlue (OH),Millersport (OH),12-52,Processed,2025-02-01T18:17:01.264811
,Football,Walkterton John Glenn (IN),Edwardsburg,8-48,Processed,2025-02-01T18:17:01.304811
,Football,Warren Michigan Collegiate,Clarkston Everest Collegiate,24-27,Processed,2025-02-01T18:17:01.344327
,Football,Harper Woods,Redford Union,43-21,Processed,2025-02-01T18:17:01.388329
,Football,Allendale,Hopkins,20-12,Processed,2025-02-01T18:17:01.433332
